House_Size_sqft,House_Price_$
1360,283642.4558942608
1794,376554.96919186716
1630,343886.6466021752
1595,334099.9559448947
2138,423456.6821979085
2669,521330.4521003008
966,163036.93420905035
1738,369592.93951569643
830,162445.3575745869
1982,388192.33382627397
2635,550594.326894014
3419,665835.8412108865
630,142695.90838460857
2185,442931.2276865794
1269,233043.40246969037
2891,576683.9250994363
2015,422459.27067511575
3353,686511.9092779189
2933,616508.6850576695
1715,349763.62503986637
1455,358445.9250725334
2824,546392.1838986524
1684,328827.23219969595
959,190582.71825050507
521,75824.99082817194
2800,580849.8323467884
1247,267470.6498125169
3404,681180.006621243
974,184111.67092652989
1582,286498.92258371325
3058,595814.8334260416
2547,524274.22567542456
3247,645156.7715657675
1475,286462.6241192055
2306,471228.9666304961
689,160963.73305864056
3234,651942.3374011256
1062,218690.25791726343
2399,507237.24267099553
1767,356911.0658790966
3379,669614.2290711084
2028,419062.5100554795
1146,224067.39634614892
2568,506243.4855173448
3388,703074.6724027911
2714,536960.9465834876
1797,306296.4790487306
2935,593910.3588777754
1100,212089.67096839414
2863,566817.2628706011
2561,521258.7265306702
741,144878.78183297868
2541,512498.7766018951
3324,624353.7013360853
3112,603538.8638306548
3445,717079.1747731859
1863,372228.9839097672
2639,494329.90756019554
1890,356549.36331128684
1978,375748.2764119362
3056,613246.9536509933
1275,246347.81438903973
534,93616.35395127044
2753,550678.7460886281
2455,500555.0819886705
2085,411819.4271052222
1521,292705.815847732
3113,614170.0355932023
1629,332596.4192837329
2000,399852.39700110856
1202,255745.9367741281
2949,566804.1484501128
3277,639893.2778808611
2079,431262.817117785
661,116163.44313300612
701,167880.31437865357
2481,524304.1061175638
1495,326846.51506983803
2817,545787.1836294046
1315,264537.89897169144
955,181131.35035593348
1775,373463.2521668391
1516,337332.09907356923
2843,586071.7883127076
3267,653582.8869148027
837,160089.21406334915
1378,288581.73465258215
1576,290742.52926649386
1291,268926.7206476413
2764,534506.1813747744
1263,265010.9643192347
2735,543781.2524627388
879,168034.7120204677
992,180689.75252342303
1680,328865.0994846361
2562,523522.43597067933
564,133677.21221837317
3068,624128.9632266939
1867,400677.7304883421
1652,381183.25432538666
